iter	Passed	Remaining
406	2784	4057
407	2788	4046
408	2793	4036
409	2797	4026
410	2802	4015
411	2806	4005
412	2811	3995
413	2815	3985
414	2819	3974
415	2823	3964
416	2828	3954
417	2832	3943
418	2836	3933
419	2840	3923
420	2845	3912
421	2849	3902
422	2853	3892
423	2860	3886
424	2867	3879
425	2872	3869
426	2876	3859
427	2880	3849
428	2884	3839
429	2888	3829
430	2893	3819
431	2897	3809
432	2901	3799
433	2906	3790
434	2910	3780
435	2914	3770
436	2919	3760
437	2923	3750
438	2927	3741
439	2934	3734
440	2939	3725
441	2943	3716
442	2948	3707
443	2953	3698
444	2958	3689
445	2962	3680
446	2967	3671
447	2973	3663
448	2978	3654
449	2982	3645
450	2988	3637
451	2993	3629
452	2998	3620
453	3003	3611
454	3008	3603
455	3012	3593
456	3016	3584
457	3021	3575
458	3025	3565
459	3029	3556
460	3033	3547
461	3038	3537
462	3042	3528
463	3047	3519
464	3051	3511
465	3056	3502
466	3061	3493
467	3065	3485
468	3070	3475
469	3074	3466
470	3078	3457
471	3083	3448
472	3087	3439
473	3091	3430
474	3095	3421
475	3100	3412
476	3104	3403
477	3108	3394
478	3113	3385
479	3117	3377
480	3121	3368
481	3125	3359
482	3130	3350
483	3134	3341
484	3138	3333
485	3143	3324
486	3147	3315
487	3151	3306
488	3156	3298
489	3160	3289
490	3164	3280
491	3169	3272
492	3173	3263
493	3177	3254
494	3181	3246
495	3186	3237
496	3190	3229
497	3194	3220
498	3199	3212
499	3203	3203
500	3207	3195
501	3212	3186
502	3216	3178
503	3220	3169
504	3225	3161
505	3229	3152
506	3233	3144
507	3237	3135
508	3242	3127
509	3246	3119
510	3251	3111
511	3255	3103
512	3260	3095
513	3265	3088
514	3271	3080
515	3276	3073
516	3280	3064
517	3284	3056
518	3289	3048
519	3294	3040
520	3298	3032
521	3302	3024
522	3307	3016
523	3311	3008
524	3316	3000
525	3320	2992
526	3324	2984
527	3329	2976
528	3333	2968
529	3338	2960
530	3342	2952
531	3346	2944
532	3351	2936
533	3355	2928
534	3359	2919
535	3363	2912
536	3368	2904
537	3372	2896
538	3376	2888
539	3381	2880
540	3385	2872
541	3389	2864
542	3394	2856
543	3398	2848
544	3402	2840
545	3407	2832
546	3411	2825
547	3415	2817
548	3419	2809
549	3424	2801
550	3428	2793
551	3432	2786
552	3437	2778
553	3441	2770
554	3448	2764
555	3456	2759
556	3460	2752
557	3464	2744
558	3469	2736
559	3473	2729
560	3477	2721
561	3482	2713
562	3486	2705
563	3490	2698
564	3494	2690
565	3499	2683
566	3503	2675
567	3507	2667
568	3511	2660
569	3516	2652
570	3520	2644
571	3524	2637
572	3528	2629
573	3533	2622
574	3537	2614
575	3541	2607
576	3546	2599
577	3550	2592
578	3554	2584
579	3558	2577
580	3563	2570
581	3569	2563
582	3573	2556
583	3577	2548
584	3582	2541
585	3586	2533
586	3590	2526
587	3594	2518
588	3599	2511
589	3603	2503
590	3607	2496
591	3611	2489
592	3616	2481
593	3620	2474
594	3624	2467
595	3628	2459
596	3635	2454
597	3642	2448
598	3646	2441
599	3651	2434
600	3655	2426
601	3659	2419
602	3663	2412
603	3668	2404
604	3672	2397
605	3676	2390
606	3680	2383
607	3685	2375
608	3689	2368
609	3693	2361
610	3697	2354
611	3702	2347
612	3706	2339
613	3710	2332
614	3714	2325
615	3719	2318
616	3723	2311
617	3727	2304
618	3731	2296
619	3736	2289
620	3740	2282
621	3744	2275
622	3749	2268
623	3753	2261
624	3757	2254
625	3762	2247
626	3766	2240
627	3770	2233
628	3774	2226
629	3779	2219
630	3784	2213
631	3789	2206
632	3793	2199
633	3797	2192
634	3802	2185
635	3806	2178
636	3810	2171
637	3815	2164
638	3819	2157
639	3825	2151
640	3832	2146
641	3837	2139
642	3841	2132
643	3845	2125
644	3850	2119
645	3854	2112
